NACE,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,1380.393,1975.813,2415.433,2430.297,2287.761,1879.741,206.913,117.493,110.53,189.864,289.524
B,845.334,882.375,1336.698,1984.727,2651.119,1867.246,126.507,9.661,29.182,26.473,24.606
C,2115.774,2435.261,2777.9,3708.444,4096.513,3130.751,239.51,86.953,132.003,143.422,148.468
D,977.211,1202.831,1166.317,1536.174,2925.493,1562.692,8.368,6.087,6.828,1.696,3.353
E,74.317,88.106,106.909,119.771,161.904,135.554,9.236,5.0,16.098,4.899,5.821
F,1989.639,1739.424,1961.733,2058.601,2412.235,1469.34,38.179,19.624,17.77,18.709,11.179
G,945.886,1172.433,1265.736,1905.06,1709.111,1546.113,125.661,85.93,83.021,58.977,90.901
H,856.215,982.654,1426.608,1841.115,1694.376,1293.892,107.085,57.8,67.808,58.949,64.042
I,63.771,57.84,80.217,98.349,109.579,72.372,1.722,2.617,0.545,3.362,1.919
J,1051.728,612.548,691.626,1098.708,814.958,830.147,1.568,2.64,3.83,5.732,2.976
K,295.172,300.526,302.864,391.627,435.126,444.321,5.895,7.624,32.507,10.187,10.496
L,544.702,769.636,846.172,1013.118,1089.036,739.591,47.61,13.345,21.668,13.522,66.816
M,186.094,257.5,299.481,396.993,460.899,438.545,3.273,1.171,11.713,12.664,6.441
N,299.161,391.734,479.275,435.215,454.273,319.862,79.268,7.308,9.642,4.995,9.324
O,638.243,875.925,1234.872,1639.625,2101.12,2310.878,68.549,4.934,31.665,14.768,12.092
P,70.502,88.346,131.314,163.97,185.278,138.724,2.16,1.192,1.951,1.053,2.997
Q,108.362,175.296,252.221,299.22,366.967,550.263,15.445,12.523,13.733,10.528,9.321
R,47.806,37.958,62.008,134.675,160.418,102.846,0.79,0.393,0.778,1.759,1.461
