year,fx_avg_uah_usd,fx_eop_uah_usd,cpi_decdec_pct,gdp_nominal_uah_bn,gdp_nominal_usd_bn_statgov,gdp_nominal_usd_bn_worldbank,real_gdp_growth_pct_statgov,real_gdp_growth_pct_worldbank
2015,21.845,,,1988.5,91.0,91.0,,-9.8
2016,25.551,,,2385.4,93.4,93.4,2.4,2.4
2017,26.597,,,2981.2,112.1,112.1,2.4,2.4
2018,27.2,,,3560.3,130.9,130.9,3.5,3.5
2019,25.846,,,3977.2,153.9,153.9,3.2,3.2
2020,26.961,,,4222.0,156.6,156.6,-3.8,-3.8
2021,27.283,27.278,10.0,5450.8,199.8,199.8,3.4,3.4
2022,32.368,36.569,26.599999999999994,5239.1,161.9,162.0,-28.8,-28.8
2023,36.575,37.982,5.099999999999994,6628.0,181.2,181.2,5.5,5.5
2024,40.159,42.039,12.0,7662.4,190.8,190.8,3.2,3.2
2025,41.69,42.388,8.0,8931.2,214.2,214.2,1.8,1.8
2026,43.788,44.477,,,,,,
