STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,BASE_PERIOD,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,NACE,COST_DIRECTION,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2019,1396579
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2020,886251
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2021,1680047
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2022,1041836
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2023,1631488
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2024,1654125
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01,_T,A,2025,2119058
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2019,1328771
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2020,808128
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2021,1504939
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2022,954691
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2023,1448492
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2024,1583984
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_1,_T,A,2025,2044002
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2019,3363
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2020,1207
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2021,3971
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2022,13366
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2023,18872
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2024,11136
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_2,_T,A,2025,6090
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_3,_T,A,,
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2019,55202
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2020,66424
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2021,140724
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2022,70391
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2023,141322
dataflow,SSSU:DF_CAPITAL_INVESTMENTS_A(3.0.1),R,CAP_INV_UAH,_Z,UA00000000000000000,ASST_TYPE,INTANG_ASSET,01_4,_T,A,2024,41016
