STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,BASE,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M01,174.5
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M02,180.4
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M03,177.4
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M04,186.9
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M05,179.7
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M06,196
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M07,180.2
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M08,186.9
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M09,193.8
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M10,166.7
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M11,178.3
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2021-M12,302.8
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M01,164.3
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M02,151.7
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M03,84.5
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M04,78.5
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M05,70.3
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M06,59.9
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M07,61.8
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M08,51.2
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M09,37.1
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M10,49.1
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M11,34.8
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2022-M12,18.3
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M01,109.2
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M02,111.5
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M03,95.1
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M04,93.6
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M05,93
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M06,87.8
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M07,88.4
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M08,90.8
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M09,88.9
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M10,80.4
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M11,87.2
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2023-M12,101.9
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M01,102.6
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M02,103.6
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M03,122.3
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M04,114.5
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M05,109.7
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M06,94.6
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M07,95.6
dataflow,SSSU:DF_ECONOM_INDC_SHORT-TERM_CONSTRUCTION_STAT(16.0.0),R,INDX_CONSTRUCTION_PRODUCTS,ADJ_AVG_M_VAL_SEAS_CALEN,UA00000000000000000,TYPES_CONSTRUCTION,0,M,2024-M08,98.9
