STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,PRICE_TYPE,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,SECTOR_ECONOMY,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2010,1225
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2011,1459
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2012,1884
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2013,512
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2014,810
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2015,274
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2016,1240
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2017,176
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2018,949
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2019,1790
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2020,1619
dataflow,SSSU:DF_ANNUAL_NATIONAL_ACCOUNTS(7.0.0),R,ACQ_LSS_DSP_VAL,CONST_PRICES_2021,UA00000000000000000,_T,_T,S_1,A,2021,1544
