STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,REGION,PRICE_TYPE,NACE,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2015,274
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2016,1240
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2017,176
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2018,949
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2019,1790
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2020,1619
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2021,1544
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2022,1194
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2023,1541
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2024,1400
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,A,2025,1937
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2015-Q1,88
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2015-Q2,55
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2015-Q3,-33
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2015-Q4,164
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2016-Q1,694
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2016-Q2,184
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2016-Q3,476
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2016-Q4,-114
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2017-Q1,161
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2017-Q2,147
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2017-Q3,-35
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2017-Q4,-97
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2018-Q1,248
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2018-Q2,180
dataflow,SSSU:DF_QUARTERLY_NATIONAL_ACCOUNTS(14.0.0),R,ACQUISITIONS_LESS_DIS_VAL,UA00000000000000000,CONST_PRICES_2021,_T,Q,2018-Q3,291
