STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,BASE_PERIOD,REGION,BREAKDOWN,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2021-Q4,131.5
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2022-Q1,135.6
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2022-Q2,137.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2022-Q3,143.7
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2022-Q4,147.1
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2023-Q1,151.1
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2023-Q2,157.4
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2023-Q3,166.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2023-Q4,170.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2024-Q1,180.6
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2024-Q2,181.5
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2024-Q3,186.8
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2024-Q4,193.3
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2025-Q1,200.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2025-Q2,208.5
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2025-Q3,209.1
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2025-Q4,219
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2019,UA00000000000000000,H_1,Q,2026-Q1,232.3
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1,Q,2026-Q1,112.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_1,Q,2026-Q1,111.7
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_2,Q,2026-Q1,113.5
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_3,Q,2026-Q1,112
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_3_1,Q,2026-Q1,111.3
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_3_2,Q,2026-Q1,112.4
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_4,Q,2026-Q1,114.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_4_1,Q,2026-Q1,112.7
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,BASE_YEAR_2025,UA00000000000000000,H_1_4_2,Q,2026-Q1,115.3
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2020-Q1,108.8
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2020-Q2,108.6
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2020-Q3,108.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2020-Q4,108.8
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2021-Q1,111.4
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2021-Q2,112.7
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2021-Q3,113.8
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2021-Q4,114.8
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2022-Q1,114.9
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2022-Q2,113.6
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2022-Q3,113.4
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2022-Q4,113
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2023-Q1,111.4
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2023-Q2,112.8
dataflow,SSSU:DF_PRICE_CHANGE_HOUSING_MARKET(16.0.0),R,INDEX_HOUSPRICE,CORPERIOD_PREV_YEAR,UA00000000000000000,H_1,Q,2023-Q3,113.9
