STRUCTURE[;],STRUCTURE_ID,ACTION,INDICATOR,PERIOD_OF_TIME,SEX,REGION,BREAKDOWN_CATEGORY,BREAKDOWN,FREQ,TIME_PERIOD,OBS_VALUE
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF06_1,A,2016,31.69
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF06_1,A,2020,73.9
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF08_1,A,2016,31.5
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF08_1,A,2020,78.1
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF10_1,A,2016,28.85
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF10_1,A,2020,69.04
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF12,A,2016,28.73
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF12,A,2020,64.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF13,A,2016,26.38
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YF13,A,2020,62.27
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YL08,A,2016,25.71
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YL08,A,2020,56.78
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YU08,A,2016,25.11
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,YU08,A,2020,61.02
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,_T,A,2016,29.65
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,AGE_GROUP,_T,A,2020,70.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,A,A,2016,22.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,A,A,2020,51.72
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,B,A,2016,32.43
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,B,A,2020,75.69
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,B-E,A,2016,30.59
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,B-E,A,2020,66.56
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,C,A,2016,29.72
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,C,A,2020,63.69
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,D,A,2016,36.95
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,D,A,2020,83.89
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,E,A,2016,23.31
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,E,A,2020,57.02
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,F,A,2016,25.58
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,F,A,2020,59.08
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,G,A,2016,30.9
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,G,A,2020,67.55
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,H,A,2016,32.34
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,H,A,2020,80.94
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,I,A,2016,21.64
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,I,A,2020,44.34
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,J,A,2016,47
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,J,A,2020,119.44
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,K,A,2016,50.2
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,K,A,2020,109.65
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,L,A,2016,25.4
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,L,A,2020,57.86
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,M,A,2016,42.84
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,M,A,2020,89.3
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,N,A,2016,26.9
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,N,A,2020,62
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,O,A,2016,31.3
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,O,A,2020,99.96
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,P,A,2016,29.85
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,P,A,2020,70.54
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,Q,A,2016,21.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,Q,A,2020,56.96
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,R,A,2016,29.44
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,R,A,2020,68.4
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,S,A,2016,26.35
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,S,A,2020,68.46
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,_T,A,2016,29.65
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,ECONOMIC_ACTIVITY_TYPE,_T,A,2020,70.21
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,BACH_EQ,A,2016,26.19
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,BACH_EQ,A,2020,66.45
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,DOC_STUD_EQ,A,2020,115.26
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,FRS_STG_SEC_EDU,A,2016,17.88
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,FRS_STG_SEC_EDU,A,2020,44.23
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,MAG_EQ,A,2016,40.99
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,MAG_EQ,A,2020,95.79
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,PRE_SCH_EDU,A,,
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,PRM_EDU,A,2016,16.67
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,PRM_EDU,A,2020,38.44
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,PST_SEC_NON_TERT,A,2016,20.44
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,PST_SEC_NON_TERT,A,2020,52.09
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,SEC_STG_SEC_EDU,A,2016,19.08
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,SEC_STG_SEC_EDU,A,2020,48.32
dataflow,SSSU:DF_SALARY_LEVEL_OF_EMPLOYEES(6.0.0),R,ACC_SAL_PAYM,HOUR,FEMALE,UA00000000000000000,EDUCATION_LEVEL,TERT_EQ,A,2016,23.88
