source_id,publisher,dataset_or_document,period_or_as_of,units,raw_file,url,retrieved,model_use,transformation,caveat
S01,State Statistics Service of Ukraine,SDMX dataflow registry,Prepared 2026-07-10,Metadata,raw/ukrstat_sdmx_dataflows.json,https://stat.gov.ua/sdmx/workspaces/default:integration/registry/sdmx/3.0/structure/dataflow/all/all/latest?detail=full&references=none,2026-07-09,Dataset discovery,None,Registry prepared after the US retrieval date because the Ukrainian portal timestamp is already 2026-07-10.
S02,State Statistics Service of Ukraine,Performance indicators of enterprises,2012-2024,UAH with SDMX scale attributes,raw/ukrstat_performance_enterprises_selected.json,https://stat.gov.ua/en/datasets/performance-indicators-enterprises,2026-07-09,Turnover value added output employment and gross operating surplus,Filtered to Ukraine total and selected indicators; ratios computed without changing source values,"Beginning 2022 excludes temporarily occupied territories and parts of territories where military actions are/were conducted; banks and budget organizations excluded."
S03,State Statistics Service of Ukraine,Gross investment of enterprises,2012-2023,UAH with SDMX scale attributes,raw/ukrstat_gross_investment_enterprises.json,https://stat.gov.ua/en/datasets/performance-indicators-enterprises,2026-07-09,Capital-efficiency proxy,Filtered to Ukraine total and total investment by NACE,"Latest observation is 2023 for screened sectors; same territorial exclusions as S02."
S04,State Statistics Service of Ukraine,Financial results of enterprises annual,2015-2025,Percent and UAH with SDMX scale attributes,raw/ukrstat_financial_results_selected.json,https://stat.gov.ua/en/datasets/financial-results-enterprises-annual,2026-07-09,Operating profitability all-activity profitability profitable-enterprise share and revenue,Filtered to total enterprises by NACE,"Banks excluded; beginning 2022 excludes temporarily occupied territories and parts of territories where military actions are/were conducted."
S05,State Statistics Service of Ukraine,Balance of enterprises annual,2015-2025,UAH with SDMX scale attributes,raw/ukrstat_balance_sheet_selected.json,https://stat.gov.ua/en/datasets/balance-enterprises-annual,2026-07-09,Working-capital and inventory intensity,Current assets less current payables divided by revenue; inventory divided by revenue,Aggregate balance-sheet definitions do not equal deal-level normalized working capital.
S06,State Statistics Service of Ukraine,Foreign trade in services,2015-2024,Thousand USD,raw/ukrstat_service_exports_selected.json,https://stat.gov.ua/en/datasets/foreign-trade-services,2026-07-09,Export anchors for transport ICT and business services,Filtered to Ukraine total counterpart total and annual service groups 03 09 and 10,Category exports are context and are not attributed one-for-one to a NACE sector or opportunity.
S07,State Statistics Service of Ukraine,External trade of goods,2015-2024,Thousand USD,raw/ukrstat_goods_exports_selected.json,https://stat.gov.ua/en/datasets/external-trade-goods,2026-07-09,Export anchors for agro-processing construction materials machinery and transport equipment,Filtered to annual chapter totals for chapters II III IV XIII XVI and XVII,Commodity chapters are context and are not attributed one-for-one to a NACE sector or opportunity.
S08,State Statistics Service of Ukraine,Annual national accounts by economic activity,2024,UAH,raw/ukrstat_national_accounts_by_activity_2024.xlsx,https://stat.gov.ua/en/datasets/annual-national-accounts,2026-07-09,National-accounts cross-check,Archived as published,Workbook definitions follow national accounts rather than enterprise structural statistics.
S09,State Statistics Service of Ukraine,Gross fixed capital formation by economic activity and asset,2022-2024,UAH,raw/ukrstat_gfcf_by_activity_2022-2024.xlsx,https://stat.gov.ua/en/datasets/annual-national-accounts,2026-07-09,Investment cross-check,Archived as published,National-accounts GFCF is not interchangeable with enterprise gross investment.
S10,State Statistics Service of Ukraine,Enterprise output by activity and region,2014-2024,UAH,raw/ukrstat_enterprise_output_by_activity_region_2014-2024.xlsx,https://stat.gov.ua/en/datasets/performance-indicators-enterprises,2026-07-09,Regional evidence,Archived as published,Regional comparisons inherit wartime coverage and confidentiality limitations.
